name,full_name,description,default_branch,language,created_at,updated_at,pushed_at,forks_count,stargazers_count,watchers_count,open_issues_count,branches_count,pull_requests_open,pull_requests_closed
trabajo_grupal_01_u1-grupo_valdez_poma_yucra_sagua_romero,UPT-FAING-EPIS/trabajo_grupal_01_u1-grupo_valdez_poma_yucra_sagua_romero,trabajo_grupal_01_u1-grupo_valdez_poma_yucra_sagua_romero created by GitHub Classroom,main,,2021-09-02 23:32:47+00:00,2021-09-02 23:32:51+00:00,2021-09-02 23:47:41+00:00,0,0,0,0,2,0,0
Grupo-anco_gorbeno_martinez_loza_huillca_pomez,UPT-FAING-EPIS/Grupo-anco_gorbeno_martinez_loza_huillca_pomez,,master,TeX,2021-09-03 02:18:53+00:00,2021-09-03 02:26:20+00:00,2021-09-03 02:26:17+00:00,0,0,0,0,1,0,0
trabajo_grupal_01_u1-marcogarcia-allisonchino-miguelarenas,UPT-FAING-EPIS/trabajo_grupal_01_u1-marcogarcia-allisonchino-miguelarenas,trabajo_grupal_01_u1-marcogarcia-allisonchino-miguelarenas created by GitHub Classroom,main,TeX,2021-09-03 22:38:47+00:00,2021-09-04 00:14:59+00:00,2021-09-04 00:14:57+00:00,0,0,0,0,1,0,0
trabajo_grupal_01_u1-briananco-erickamartinez,UPT-FAING-EPIS/trabajo_grupal_01_u1-briananco-erickamartinez,trabajo_grupal_01_u1-briananco-erickamartinez created by GitHub Classroom,main,TeX,2021-09-03 23:40:00+00:00,2021-09-04 00:44:05+00:00,2021-09-04 00:44:02+00:00,0,0,0,0,1,0,0
trabajo_grupal_01_u1-sivirichi-chambilla-contreras-cotrado-1,UPT-FAING-EPIS/trabajo_grupal_01_u1-sivirichi-chambilla-contreras-cotrado-1,trabajo_grupal_01_u1-sivirichi-chambilla-contreras-cotrado-1 created by GitHub Classroom,main,TeX,2021-09-04 02:02:21+00:00,2021-09-04 02:21:31+00:00,2021-09-04 02:21:28+00:00,0,0,0,0,1,0,0
trabajo_grupal_01_u1-Anahua_Coloma_Cuadros_Aguilar_Limache_,UPT-FAING-EPIS/trabajo_grupal_01_u1-Anahua_Coloma_Cuadros_Aguilar_Limache_,"Trabajo grupal - Calidad y Pruebas de Software, Patrones de Diseño- Integrantes: Aguilar, Anahua, Coloma, Cuadros, Limache",master,TeX,2021-09-07 00:59:15+00:00,2021-09-08 00:48:19+00:00,2021-09-07 01:00:59+00:00,0,0,0,0,1,0,0
tb_02_u2_anco_loza_martinez_huillca_pomez_gorbeno,UPT-FAING-EPIS/tb_02_u2_anco_loza_martinez_huillca_pomez_gorbeno,,main,TeX,2021-09-17 02:16:39+00:00,2021-09-17 02:22:45+00:00,2021-09-17 02:22:43+00:00,0,0,0,0,1,0,0
tg_cps_2021_ii_u1_02-grupo_valdez_poma_yucra_sagua_romero,UPT-FAING-EPIS/tg_cps_2021_ii_u1_02-grupo_valdez_poma_yucra_sagua_romero,tg_cps_2021_ii_u1_02-grupo_valdez_poma_yucra_sagua_romero created by GitHub Classroom,main,,2021-09-21 23:41:18+00:00,2021-09-21 23:41:23+00:00,2021-09-22 01:17:07+00:00,0,0,0,0,2,0,0
3U_TG_Anco_Huillca_Pomez_Gorbeno_Martinez_loza,UPT-FAING-EPIS/3U_TG_Anco_Huillca_Pomez_Gorbeno_Martinez_loza,,main,TeX,2021-11-26 01:49:15+00:00,2021-11-26 02:28:03+00:00,2021-11-26 02:28:00+00:00,0,0,0,0,1,0,0
tg_bdii_2021_ii_u1_02-s,UPT-FAING-EPIS/tg_bdii_2021_ii_u1_02-s,tg_bdii_2021_ii_u1_02-s created by GitHub Classroom,main,,2022-04-25 16:46:58+00:00,2022-04-25 16:46:58+00:00,2022-04-25 16:47:01+00:00,0,0,0,0,1,0,0
SI783_BDII,UPT-FAING-EPIS/SI783_BDII,,main,TSQL,2022-08-27 20:06:46+00:00,2024-08-17 20:40:03+00:00,2023-11-17 02:54:25+00:00,3,1,1,0,7,0,0
tg_bdii_2021_ii_u1_02-grupo_chavez_villanueva_lira,UPT-FAING-EPIS/tg_bdii_2021_ii_u1_02-grupo_chavez_villanueva_lira,tg_bdii_2021_ii_u1_02-grupo_chavez_villanueva_lira created by GitHub Classroom,main,TeX,2022-09-22 09:08:25+00:00,2022-09-25 22:15:07+00:00,2022-09-25 22:15:03+00:00,0,0,0,0,1,0,0
tg_bdii_2021_ii_u1_02-group_caxi-delgado-concha,UPT-FAING-EPIS/tg_bdii_2021_ii_u1_02-group_caxi-delgado-concha,tg_bdii_2021_ii_u1_02-group_caxi-delgado-concha created by GitHub Classroom,main,,2022-09-24 17:32:13+00:00,2022-09-24 17:32:13+00:00,2022-09-24 17:34:11+00:00,0,0,0,0,1,0,0
tg_bdii_2021_ii_u1_02-grupo_juarez_maltrain_mamani,UPT-FAING-EPIS/tg_bdii_2021_ii_u1_02-grupo_juarez_maltrain_mamani,tg_bdii_2021_ii_u1_02-grupo_juarez_maltrain_mamani created by GitHub Classroom,main,,2022-09-25 19:55:50+00:00,2022-09-25 19:55:50+00:00,2022-09-25 19:55:52+00:00,0,0,0,0,1,0,0
Trabajo-Final-unidad-3-Chavez-Lira-Perez,UPT-FAING-EPIS/Trabajo-Final-unidad-3-Chavez-Lira-Perez,Documentacion y proyecto,main,,2022-12-07 04:20:59+00:00,2022-12-07 04:22:20+00:00,2022-12-07 04:29:52+00:00,0,0,0,0,1,0,0
